pair_id,group_id,doc_id,target
1,1,15731,0
2,1,14829,0
3,1,15764,0
4,1,17669,0
5,1,14852,0
6,1,15458,0
7,1,14899,0
8,1,16879,0
9,1,16310,0
10,1,15440,0
11,1,16242,0
12,1,16383,0
13,1,15580,0
14,1,16840,0
15,1,17519,0
16,1,15185,0
17,1,15016,0
18,1,17796,0
19,1,17507,0
20,1,16929,0
21,1,17389,0
22,1,16272,0
23,1,16057,0
24,1,15641,0
25,1,17356,0
26,1,15222,0
27,1,16105,0
28,1,17781,0
29,1,15763,1
30,1,15556,0
31,1,16178,0
32,1,17639,0
33,1,17105,0
34,1,15068,0
35,1,17176,1
36,1,17240,0
37,1,14999,0
38,1,15217,0
39,1,15613,1
40,1,15942,0
41,1,16072,0
42,1,16052,1
43,1,17819,0
44,1,17339,0
45,1,17135,0
46,1,17733,0
47,1,15631,0
48,1,15558,0
49,1,16650,0
50,1,15114,0
51,1,16598,0
52,1,15835,0
53,1,15564,0
54,1,15430,0
55,1,15555,0
56,1,15820,0
57,1,15817,0
58,1,17336,0
59,1,17835,0
60,1,16627,0
61,1,16786,0
62,1,15642,0
63,1,17652,0
64,1,16595,1
65,1,15233,0
66,1,17478,0
67,1,16367,0
68,1,14961,0
69,1,15400,0
70,1,15890,0
71,1,15655,0
72,1,15578,0
73,1,16565,0
74,1,16124,0
75,1,15106,0
76,1,15690,0
77,1,15934,0
78,1,15968,0
79,1,15154,0
80,1,17077,0
81,1,17716,0
82,1,16683,0
83,1,15498,1
84,1,15943,0
85,1,16818,1
86,1,16352,0
87,1,17690,0
88,1,16487,0
89,1,16295,0
90,1,16233,0
91,1,15678,0
92,1,15966,0
93,1,16893,0
94,1,17081,0
95,1,16657,0
96,1,16279,0
97,1,15156,0
98,1,16184,0
99,1,17050,1
100,1,15734,0
101,1,16407,0
102,1,14929,0
103,2,13106,0
104,2,13767,0
105,2,12504,0
106,2,14300,0
107,2,14103,0
108,2,13055,0
109,2,14745,1
110,2,11585,0
111,2,11968,0
112,2,13102,0
113,2,12896,0
114,2,11844,0
115,2,12744,0
116,2,13337,1
117,2,14707,1
118,2,13339,0
119,2,11441,0
120,2,11751,0
121,2,13899,1
122,2,13555,0
123,2,11618,1
124,2,12518,0
125,2,11737,0
126,2,11818,0
127,2,12798,0
